,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,2399.8,2019.8,12733.7,5201.7,791.5,590.8,7.8,1231.7,443.7,10.5,11.1,5,8.9,19.1,7.8,7.6,1.9,1173.9,0.2,6,0.8,17.6,4,0.2,0.2,0.3,0.1,2019.1,7.4,0.4,0.9,2019.3,2019.6,0,9392.8,0,158.3,1218.1,756.9,25.9,0,0,36272.1
IMP_C10T14: Mining and quarrying,2,253.2,18722.2,1406.5,2018.8,583.6,1017.6,63630.7,24481.6,1025.6,27272.4,8360.9,27224.9,3591.4,446.2,935.9,616.9,318.6,1100.7,348.9,101.6,1.3,2,2019.9,0.3,0.3,1.6,0.2,2.2,2019.9,2019.2,2019.9,7,4,0,593.2,0,0.3,15.8,2150.3,22.6,0,0,186295.9
"IMP_C15T16: Food products, beverages and tobacco",3,1945.8,37.6,7792.2,1781.3,92.2,117.1,136.9,1156.2,147,77.6,145.3,80.1,182.7,760.8,248.8,113.2,41.2,244,2019.3,2019.5,2019.9,61.4,2019.3,1.1,1.2,3,0.2,2,13,2019.4,4.1,2019.9,9,0,11373.5,0,7,84.8,644.7,3138.1,0,0,30471.3
"IMP_C17T19: Textiles, textile products, leather and footwear",3,9.3,2019.3,2019.8,13207.5,153.8,174.9,12.4,193.4,282.4,31,59.1,33.1,101.1,656.9,213.7,180.6,22.2,629.5,2,7.3,2019.9,2019.5,3,0.8,0.9,2019.2,0.3,2019.7,17.2,7.7,2019.3,5.4,5,0,4771.9,0,0.2,26.1,158.3,3400,0,0,24432.7
IMP_C20: Wood and products of wood and cork,3,7.9,40.9,23,42.1,1940.5,271.2,11.2,46.7,35.4,83.6,430.4,12.8,107.6,211.8,107.6,55.3,43.8,217,1.4,196.4,0.9,1.3,2.4,0.2,0.1,0.3,0.2,2,2019.2,2019.4,26.5,2019.3,2019.2,0,45.4,0,0.1,8.2,11.6,16.6,0,0,4069.6
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,24.8,29.1,1176.5,1113.4,217.3,8297,23.6,1033.8,529.5,569.6,529.3,32.8,340.2,2858.5,1061.3,182.8,180,399.4,6.8,2019.7,41.4,5.2,6.2,2019.8,39.9,2019.2,5.2,46.9,304.1,97.4,58.5,2019.4,43.9,0,94.5,0,2.7,27.4,58.3,35.2,0,0,19550.5
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,436.2,1015.6,262.6,614.3,110.6,253.5,2099.3,8242.6,645.3,1239.2,975.6,1535,959.7,628.5,456.4,308.7,187.8,217.7,705.6,877.4,63.1,42.4,2552.2,29.8,72.6,336.9,13.4,120.6,779.9,329.3,121,54.7,123.9,0,352.8,0,0.4,17.4,18.1,1335.8,0,0,28136
IMP_C24: Chemicals and chemical products,3,2911.3,721.4,773.9,9728.4,1395.7,3775.9,732.5,33971.2,18980.4,2422.8,2484.9,515.4,1451.6,14496.7,4866.6,1375.5,929.6,1711.7,2019.2,389.9,32.3,2019.8,46.1,10.1,11.7,101.4,5.9,53.3,344.8,48.3,33.1,824.8,147.1,0,3482.4,0,1.7,111.4,960.5,1836.2,0,0,111727.5
IMP_C25: Rubber and plastics products,3,89.9,118.3,675,675.6,104.7,660.6,34.6,1105.1,4501.1,201,505,33.5,929.1,4366.9,2011.9,1004.5,452.7,468.8,7,155.2,2019.9,5.9,32.4,2,0.6,33.5,0.9,7.8,50.7,4.3,2019.8,6.9,2019.6,0,431.1,0,0.1,88.7,178.5,31.5,0,0,19028
IMP_C26: Other non-metallic mineral products,3,2019.4,60.1,92.7,65,36.4,25.2,58.3,206.1,48,1007.4,165.3,129.5,131.8,2363.8,491.6,93.7,39.5,115.7,2019.5,504.9,0.7,0.7,1.6,0.5,0.3,0.9,0.1,0.9,2019.1,2019.4,2019.1,4,1.5,0,52.3,0,0.2,24.8,3.2,8.6,0,0,5763.7
IMP_C27: Basic metals,3,13.9,732.7,61.9,105.6,272.3,256.9,582.1,759.4,365.2,723.6,16772.4,7709.4,12152.5,10180,20500.7,4176,2644,1535.8,16.4,4347,6.4,0.5,34.5,1.1,0.4,17.6,1.2,10.9,70.7,0.8,7.8,2.4,11.9,0,35,0,0.2,120.4,842.5,25.2,0,0,85097.2
IMP_C28: Fabricated metal products,3,2019.8,93.3,80.8,102,100.4,138.8,43.8,199.3,141.9,200.7,2135.7,169.9,1191.9,2961,1488.7,371.5,329.1,304.4,42.7,669.9,4.1,4.5,21.8,6.7,3.7,112.6,5,44.4,287.2,8.8,13.8,12.6,16.5,0,190.2,0,0.3,896.1,88.8,47.3,0,0,12554.3
