,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,872.4,12.3,4930.7,2436.7,466.8,203.5,2.3,351.6,203.4,3.4,5.1,1.9,3.5,8.9,2.8,2.3,0.5,442.3,0.1,2019.1,0.5,4.8,2019.5,0.1,0.1,0.1,0,0.2,0.9,0.1,0.2,0.5,0.6,0,4852.2,0,124.2,503.6,0,16.4,0,0,15459.7
IMP_C10T14: Mining and quarrying,2,129.9,5840.5,542.7,905.2,221.7,356.4,28189.7,11189.5,375.7,8797.6,3244.1,10287.2,1162.6,282.4,371.6,292,77.9,373.2,166.2,46.7,0.6,2.1,2019.5,0.3,0.1,1,0.1,0.5,3,2,2.1,4.2,2.8,0,447.1,0,0.3,22.1,0,9.1,0,0,73358.9
"IMP_C15T16: Food products, beverages and tobacco",3,635,15.8,2985.5,883.3,58.4,43.6,26.1,353.3,70.1,24.2,62.8,37.1,68.3,354.2,96.8,50.6,13.4,95.2,1,2019.7,2019.4,22.1,2,0.7,0.4,0.7,0,0.4,2019.4,0.6,2019.2,3,2019.2,0,5014.6,0,6.7,56.1,0,2558.5,0,0,13553.3
"IMP_C17T19: Textiles, textile products, leather and footwear",3,4.4,2019.2,16.8,9698,144.2,78.6,4.1,77.7,154.9,2019.4,34.3,19.1,49.4,350.8,101.9,100.7,8.3,401.4,1,3,2019.8,0.9,2019.7,0.8,0.3,1,0.1,0.7,4,2019.6,0.6,2019.4,4,0,3394.7,0,0.1,21.2,0,919.4,0,0,15632.7
IMP_C20: Wood and products of wood and cork,3,3.9,2019.7,9.2,22.6,1191.7,90.8,2,16,16.3,2019.8,174.8,5.6,38.3,105.8,44.2,23.2,9.3,127.5,0.6,60.7,0.5,0.5,1.1,0.2,0.1,0.2,0,0.4,2.2,2019.8,2019.9,2019.9,3.8,0,33.9,0,0.1,7.7,0,6.6,0,0,2058.9
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,20.1,27.2,796.6,885.3,233.5,4652.4,7.6,534.3,360.2,338.9,416.3,25.6,206.2,2107.7,714.2,128.8,56.9,336.6,5.3,8.7,2019.6,4.2,5.7,31.6,2019.6,7.4,1.7,2019.7,99.3,44.2,34.5,16,45.4,0,94.1,0,5.6,22.1,0,17.8,0,0,12356.9
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,302.3,763,176.9,431.8,93.6,144.4,696.2,4311.2,325.3,728,777.2,1325.7,595,334.6,259.6,226.7,100.3,152,520.5,561.2,47.7,33.9,2238.1,27.6,33.5,123.3,4.2,44.4,249.6,140.3,65.3,45.4,116.5,0,256.7,0,0.5,17,0,533.7,0,0,16803.1
IMP_C24: Chemicals and chemical products,3,1704.2,517.9,479.2,7738,1380.8,2031.5,208.4,16447,12062.5,1200.6,1677.6,386.5,801.1,10583.8,2945.9,921.2,325.1,1134.5,14.7,175.6,2019.8,8.2,27,7.5,4.3,2019.9,1.3,14,78.8,2019.5,2019.2,619.2,104.9,0,2796.5,0,2.4,70.3,0,378.6,0,0,66920.3
IMP_C25: Rubber and plastics products,3,54.4,84.2,356.4,445.4,82.4,309.6,8.2,480.5,2487.6,92.8,310.1,23.2,483.4,2829.2,1086.6,587.1,141.8,268.3,4.9,76.3,2019.2,4,24.1,2.7,0.3,10,0.2,2.5,2019.1,1.7,4.8,7,2019.8,0,326.6,0,0.2,80.9,0,14.3,0,0,10734.1
IMP_C26: Other non-metallic mineral products,3,5.9,35.9,49.3,43.2,31.9,11.7,15.3,81,26.3,413.5,94.9,83.2,65.5,1493.5,254.8,55.1,11.5,64,1.2,171,0.4,0.4,1,0.4,0.1,0.9,0,0.3,1.5,1.1,1.4,2.4,0.9,0,47,0,0.2,26.4,0,4.3,0,0,3097.3
IMP_C27: Basic metals,3,9.1,409.3,35.5,76.7,224,122.8,432,399.3,206.5,338.3,9621.9,5375.8,5825.1,6376.5,10913.6,2436.8,685.2,862.8,8.6,1538,2.3,0.3,17.9,0.7,0.1,5.4,0.2,2.5,13.9,0.2,2.7,2,6.9,0,27.2,0,0.2,74.8,0,9.3,0,0,46064.6
IMP_C28: Fabricated metal products,3,13.7,65.1,51.7,83.6,107.3,69.1,11.8,95.7,93.2,103.2,1529.5,122.1,657.7,2302.2,911.4,234.8,113.1,202,2019.1,349.3,3,3.2,15.7,7.9,1.7,34.2,1.3,13.8,77.6,4.9,6.6,10.8,12.9,0,161.3,0,0.3,580.3,0,33.1,0,0,8111.4
"IMP_C29: Machinery and equipment, nec",3,174.3,1172,146.5,825.4,235.9,241.6,226.8,711.4,419.5,519.1,2495.6,885.3,10786.8,4334.1,3081.8,3610.4,1681.3,86.9,110.3,595.6,28.4,6.8,181.5,50.8,13.4,32.2,1.4,15.2,85.7,12.6,15.3,283.5,18.1,0,85.3,0,1,22283.9,0,421.9,0,0,55877.9
