,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,391.8,8.9,1559,553.9,112.2,40.8,1,80.6,71.9,2.4,2.1,0.5,3,9,5.2,2,0.5,74,0.4,1.7,0.6,1.4,0.3,0,0.2,0,0,0,0.1,0.1,0.3,0.1,0.2,0,2033.6,0,2019.9,166.3,70.3,9.8,0,0,5227
IMP_C10T14: Mining and quarrying,2,65.7,470.9,79.6,81,23.9,37.9,8053.1,2130.4,39.3,820.9,448,1039.5,153.6,53.4,151,58.5,11.7,26.8,32.9,2019.7,0.4,0.6,1.7,0.1,0,0.6,0,0.1,0.4,0.4,1.1,0.4,1,0,353.6,0,0,3.5,152.6,4.1,0,0,14312.5
"IMP_C15T16: Food products, beverages and tobacco",3,266.7,2.2,1251.7,258.6,3.7,3.4,2.2,102.8,11.1,2.2,1.8,1.4,3.2,18.6,6,2.2,5,9.7,0.2,0.9,2019.3,10.2,0.3,0.2,0,0.1,0,0.1,0.3,0.1,0.5,0.7,2019.7,0,2084.5,0,0.6,13.9,98.8,1018,0,0,5185.6
"IMP_C17T19: Textiles, textile products, leather and footwear",3,7.3,20.2,22.8,6649.1,11.8,2019.4,3,65.8,132.9,2019.5,2019.1,10,45.1,126,34.6,25,5.4,269.3,0.9,2019.3,2019.8,0.7,0.7,0.5,0.2,0.2,0,0.1,0.4,2019.5,0.6,1.2,6.4,0,2737.8,0,0.1,6.3,265.7,557.4,0,0,11071.9
IMP_C20: Wood and products of wood and cork,3,14.3,18.8,12.2,24.6,569.2,33.8,1.2,17.2,16.2,13.2,62.1,5.5,26,93.3,54.5,15.9,5.8,476.5,0.9,84.8,3.7,0.7,0.9,0.2,0.1,0.5,0,0.3,0.8,2.1,6.4,1.5,3.9,0,67.4,0,0,2.7,4.1,5.3,0,0,1646.8
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,19.2,18,591.8,404.6,52,1806,4,310,139.5,221.8,87.5,13.4,83.6,1057.4,663,33.7,20.9,363.2,3.4,3.6,94,3,3.6,2019.2,8.3,1.9,0.4,7.9,2019.7,41.2,44.6,3.9,54.5,0,150.1,0,0.7,8.5,95.9,5.8,0,0,6467.8
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,252.8,221.8,60.6,100,38.6,48.7,182.3,781.6,87.9,235.1,148.1,312.2,118.9,94.7,112.4,56.1,37,63.3,271.1,326.6,136.4,16.4,525.2,5.8,6.4,14.7,0.3,6.9,22.4,34.8,13.2,7.3,63.5,0,106.2,0,0,4.3,27.8,77.8,0,0,4619.1
IMP_C24: Chemicals and chemical products,3,1102.6,241.9,440.1,3633.8,393.4,492.6,82,6389.1,3334.6,299.8,301.4,142.9,237.8,2785.3,1252.8,226.5,99.6,535.4,11.8,88.7,2019.9,6.2,4.2,1.6,2.1,1.3,0.1,1.6,5.2,7.1,2019.2,215.3,49.5,0,1519.2,0,0.3,27.9,267.2,191.8,0,0,24431.6
IMP_C25: Rubber and plastics products,3,41.5,45.1,126.9,170.5,10.9,44.6,3.7,195.9,567.3,38.1,47.8,12.3,151.2,853.3,534.2,149.3,37.6,107.1,4.1,2019.6,2019.8,1.9,2019.3,1.7,0.2,0.9,0,0.5,1.6,0.7,0.9,3.7,3.1,0,170.3,0,0,28.1,58.5,8.2,0,0,3466.7
IMP_C26: Other non-metallic mineral products,3,8.8,17.5,37.3,24.2,4.2,4.8,8.1,39.7,11.8,130.7,31.9,48.4,22.8,731.8,116.8,18.7,3.7,22.5,1.4,101.5,2.1,0.6,0.6,0.3,0.1,2019.4,0,0.2,0.7,1,1.3,0.5,1.2,0,117.2,0,0,9.5,2.5,1.9,0,0,1530.6
IMP_C27: Basic metals,3,9,167.5,27,45.8,10.2,16.5,38.1,95.9,75.6,94.8,2464.5,2361.2,1751.3,1761.8,3947.4,809.4,296.6,291.9,10,774.2,3.6,0.4,9.8,0.8,0,8.7,0.1,1.3,4.1,0.2,2.7,0.6,4.8,0,41.7,0,0,18.1,1.4,2.5,0,0,15149.4
IMP_C28: Fabricated metal products,3,11.6,43.4,63.5,54.9,24.7,13.5,5.5,50.9,36,44.4,366.7,49.7,196.4,812.2,409.7,78.5,40.3,126.8,13.2,209.1,11.6,2.6,3.6,5.8,1.2,4.9,0.2,3.3,10.6,9.1,3.9,2.3,3.6,0,155.3,0,0,236.7,29.9,10.4,0,0,3145.9
"IMP_C29: Machinery and equipment, nec",3,194.2,405.8,111.2,479.7,40.8,93.9,74.4,302.2,111.7,229,254.7,299.6,2811.6,1375.7,1132,1092.5,672.5,74.7,98.2,208.2,71,3.6,50,23.7,8,15.9,0.3,6.6,21.2,14.5,12.5,38.2,17.2,0,76.8,0,0.1,8550.7,163.7,255,0,0,19391.5
