,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,DOMIMP: Domestic output and imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,CHN: China (People's Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,7,7,6,6,6,7,8,9,7,7,9,9,10,10,10,10,10,13,12,12,13
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IMP_C01T05: Agriculture, hunting, forestry and fishing",1,664.6,8.3,2594.5,1195.4,195.4,75.4,1.3,138.5,120.4,1.6,1.9,0.9,2.8,7.2,2.1,1.7,0.4,180.7,0.1,3.3,0.5,2.1,0.5,0,0.1,0.1,0,0,0.2,0.1,0.1,0.2,0.3,0,3511.7,0,57.7,335.9,97.5,5,0,0,9208.4
IMP_C10T14: Mining and quarrying,2,152.1,1464.8,183.3,242.6,73.1,111.5,10181.4,3450.5,89.9,1984.6,888.4,2679.1,390.1,101.4,170.9,103.1,28.8,101.5,43.8,25.4,0.8,0.9,2019.2,0.3,0.2,1.2,0,0.3,1.2,0.9,1.6,1,1.8,0,696.1,0,0.2,10.5,434.5,4.3,0,0,23627.4
"IMP_C15T16: Food products, beverages and tobacco",3,387.6,6.4,1733.5,466.3,13.9,11.5,9.4,155.5,24.3,6.7,9.3,10.3,19.3,98.9,30.2,12.5,7.7,28.5,0.4,2.3,2019.8,14.2,1.1,0.4,0.2,0.3,0,0.2,0.8,0.2,0.7,1.4,2019.7,0,3275.3,0,2.4,34.6,131.8,1263,0,0,7765.4
"IMP_C17T19: Textiles, textile products, leather and footwear",3,5,12.7,16.7,7422.1,20.5,34.9,2.8,49.7,70.5,9.1,2019.4,9.3,36.2,191.9,49.2,33.7,5.1,280.6,0.5,2019.4,2019.9,0.6,0.9,0.5,0.3,0.3,0,0.3,2019.1,2019.5,0.4,1.6,2019.4,0,3223.2,0,0.1,14.1,8,674.9,0,0,12200.3
IMP_C20: Wood and products of wood and cork,3,10.6,18.5,11.7,29.5,682.2,61.8,1.4,18,17.2,18.5,75.1,4.8,33.8,114.9,64.5,16.3,7.9,376,0.5,84.3,2.1,0.6,1,0.2,0.1,0.3,0,0.3,1.3,3.4,6,3.2,3.5,0,53.6,0,0.1,6.2,0.4,5.5,0,0,1735.6
"IMP_C21T22: Pulp, paper, paper products, printing and publishing",3,28.8,25.4,662.9,637.3,92.6,2876.2,6.6,372.9,190.1,215.7,142.3,16.3,136.3,1256,673.9,53.8,31.6,451.6,3.1,6.8,56.2,2.9,5.2,35.8,2019.8,3.4,0.8,13.8,52.3,43.2,35.3,6.9,48.6,0,166.6,0,5.1,14.2,84.3,6.5,0,0,8478
"IMP_C23: Coke, refined petroleum products and nuclear fuel",3,253.4,346.1,78.8,183.6,48.1,62.5,318.8,1545.9,120.9,267.3,188.8,478.9,204.1,148.3,111.7,71.9,47.3,97,217,392.5,84,18.2,1016.9,11.1,18.2,33.6,1.1,18.8,71,56,22.9,15,48.8,0,183,0,0.4,5.7,1.6,112.5,0,0,6901.8
IMP_C24: Chemicals and chemical products,3,1571.6,355.7,510,5586.2,661.5,1050.7,167.5,10157.3,5816.6,568.7,496.8,221.2,476.8,5246.9,1868.4,428,174.3,856.7,10.1,169.6,21,7.3,13.7,5,5.6,8.7,0.4,6.7,25.3,12.2,13,385.1,79.9,0,2455.6,0,1.8,55.3,257.9,274.6,0,0,40023.7
IMP_C25: Rubber and plastics products,3,53,56,190.6,266.1,24.7,104.8,5.3,257.2,923.4,41.9,75.5,13.7,259.9,1336.9,610.2,223.8,57.7,166.9,3.5,37.2,2019.5,2.4,2019.6,3.6,0.3,2.7,0.1,1.3,5,1,1.7,5.1,5,0,241.2,0,0.1,64.5,43.3,8,0,0,5125.3
IMP_C26: Other non-metallic mineral products,3,10.1,2019.2,42.3,34.1,8.4,6.3,9.7,48.4,16.4,188.9,32.4,54.9,34.8,1052.6,150.1,25.6,7.1,38.8,0.9,145.8,0.7,0.5,0.9,0.5,0.2,2019.3,0,0.3,1.3,0.9,1.3,1.2,1.1,0,114.3,0,0.2,17.8,0.7,2.4,0,0,2081.6
IMP_C27: Basic metals,3,16.2,327.4,39.9,78.3,68.8,61.5,93.8,198.7,143.6,162.2,4311.9,3868,3934.6,4244.1,8133.6,1484.4,514.4,614.6,7.6,1594,3.7,0.3,18.8,1,0.1,10.6,0.2,2.8,10.8,0.2,3.3,1,7.7,0,59.5,0,0.2,40.9,41.4,3.6,0,0,30103.9
IMP_C28: Fabricated metal products,3,16.4,57.8,62.6,70.4,44.9,33,10.4,68.4,53.5,62.9,516.8,81.8,378.4,1384.1,631,125.1,71.3,169.9,13.7,317.3,8,2.8,8.4,13.2,2.6,12.4,0.5,8.5,31.9,9.1,4.5,4.5,6.4,0,179.2,0,0.3,434.8,10.7,14.4,0,0,4921.8
"IMP_C29: Machinery and equipment, nec",3,213.8,754.9,129.5,703.8,93.1,152.2,140.5,449.8,207.1,319.4,691,488.3,6007.3,2628.2,1886.7,1824.9,1054.9,120.1,85.1,451.5,64.5,4.4,106.2,46.5,17.2,26.3,0.9,15.1,56.9,5.9,14.5,97.2,11.1,0,109.3,0,0.7,16885.2,186.2,313.4,0,0,36363.6
